CRASH_DT,Latitude,Longitude,cloudiness,temperature,feels_like,pressure,humidity,wind_deg,wind_speed,rain,weather_desc,LOCATION,CRASH_DATE,DOW,Hour,zipcode
1645056000,29.658049291,-81.86650191,47.0,292.64,292.68,1026.0,78.0,97.0,3.73,0.0,scattered clouds,Florida,2022-02-17 00:00:00,3,0,32148.0
1644969600,29.658049291,-81.983374997,100.0,287.41,286.8,1030.0,73.0,32.0,0.89,0.0,overcast clouds,Florida,2022-02-16 00:00:00,2,0,
1645747200,29.658049291,-82.387249495,0.0,297.49,297.7,1022.0,66.0,120.0,2.06,0.0,clear sky,Florida,2022-02-25 00:00:00,4,0,32607.0
1645228800,29.658049291,-82.331230317,100.0,294.42,294.93,1018.0,89.0,260.0,3.6,0.0,overcast clouds,Florida,2022-02-19 00:00:00,5,0,32601.0
1645142400,29.658049291,-82.300088215,20.0,297.31,297.53,1018.0,67.0,175.0,0.45,0.0,few clouds,Florida,2022-02-18 00:00:00,4,0,32641.0
1644969600,29.658049291,-82.534344032,100.0,288.4,287.76,1030.0,68.0,65.0,3.99,0.0,overcast clouds,Florida,2022-02-16 00:00:00,2,0,32669.0
1644451200,29.658049291,-82.124596475,0.0,283.35,282.07,1018.0,63.0,336.0,1.74,0.0,clear sky,Florida,2022-02-10 00:00:00,3,0,32631.0
1646179200,29.658049291,-87.410619976,,,,,,,,,,Florida,2022-03-02 00:00:00,2,0,
1644969600,29.658049291,-87.274515076,,,,,,,,,,Florida,2022-02-16 00:00:00,2,0,
1646784000,29.658049291,-81.350950333,43.0,295.45,295.54,1014.0,69.0,5.0,0.45,0.0,scattered clouds,Florida,2022-03-09 00:00:00,2,0,32145.0
1646784000,29.658049291,-81.317005226,43.0,295.45,295.54,1014.0,69.0,5.0,0.45,0.0,scattered clouds,Florida,2022-03-09 00:00:00,2,0,32145.0
1646611200,29.658049291,-81.38943468,0.0,295.21,295.22,1023.0,67.0,142.0,2.24,0.0,clear sky,Florida,2022-03-07 00:00:00,0,0,
1646352000,29.658049291,-81.048031814,0.0,292.11,291.78,1020.0,66.0,163.0,2.24,0.0,clear sky,Florida,2022-03-04 00:00:00,4,0,
1652486400,29.658049291,-80.296891319,,,,,,,,,,Florida,2022-05-14 00:00:00,5,0,
1652486400,29.658049291,-80.29651247,,,,,,,,,,Florida,2022-05-14 00:00:00,5,0,
1649635200,29.658049291,-80.315547614,,,,,,,,,,Florida,2022-04-11 00:00:00,0,0,
1647561600,29.658049291,-80.295894651,,,,,,,,,,Florida,2022-03-18 00:00:00,4,0,
1645920000,29.658049291,-80.295042582,,,,,,,,,,Florida,2022-02-27 00:00:00,6,0,
1647907200,29.658049291,-82.208767068,0.0,294.31,293.89,1023.0,54.0,11.0,0.45,0.0,clear sky,Florida,2022-03-22 00:00:00,1,0,
1647907200,29.658049291,-82.284417682,0.0,294.31,293.89,1023.0,54.0,11.0,0.45,0.0,clear sky,Florida,2022-03-22 00:00:00,1,0,32641.0
1646265600,29.658049291,-82.62144278,2.0,291.74,290.59,1020.0,36.0,308.0,1.58,0.0,clear sky,Florida,2022-03-03 00:00:00,3,0,
1646179200,29.658049291,-82.33889625,0.0,290.23,289.51,1019.0,58.0,350.0,1.54,0.0,clear sky,Florida,2022-03-02 00:00:00,2,0,32603.0
1644364800,29.658049291,-80.507149278,,,,,,,,,,Florida,2022-02-09 00:00:00,2,0,
1643500800,29.658049291,-82.701393161,0.0,276.99,273.61,1023.0,47.0,331.0,3.96,0.0,clear sky,Florida,2022-01-30 00:00:00,6,0,32693.0
1643500800,29.658049291,-82.728614488,0.0,276.89,273.47,1023.0,28.0,335.0,3.99,0.0,clear sky,Florida,2022-01-30 00:00:00,6,0,
1643414400,29.658049291,-82.739704711,100.0,285.19,284.15,1015.0,65.0,319.0,4.87,0.0,overcast clouds,Florida,2022-01-29 00:00:00,5,0,
1643846400,29.658049291,-80.16401882,,,,,,,,,,Florida,2022-02-03 00:00:00,3,0,
1645056000,29.658049291,-81.97681526,47.0,292.64,292.68,1026.0,78.0,97.0,3.73,0.0,scattered clouds,Florida,2022-02-17 00:00:00,3,0,
1644969600,29.658049291,-81.825518992,100.0,287.41,286.8,1030.0,73.0,32.0,0.89,0.0,overcast clouds,Florida,2022-02-16 00:00:00,2,0,32147.0
1645747200,29.658049291,-82.313254343,0.0,297.49,297.7,1022.0,66.0,120.0,2.06,0.0,clear sky,Florida,2022-02-25 00:00:00,4,0,32601.0
1645488000,29.658049291,-82.343268164,0.0,295.0,294.78,1024.0,59.0,90.0,2.06,0.0,clear sky,Florida,2022-02-22 00:00:00,1,0,32603.0
1645056000,29.658049291,-82.230001202,0.0,293.07,292.92,1027.0,69.0,100.0,4.63,0.0,clear sky,Florida,2022-02-17 00:00:00,3,0,32641.0
1645056000,29.658049291,-82.345568719,0.0,293.07,292.92,1027.0,69.0,100.0,4.63,0.0,clear sky,Florida,2022-02-17 00:00:00,3,0,32603.0
1645142400,29.658049291,-81.458076869,53.0,296.3,296.55,1008.0,72.0,150.0,2.52,0.0,broken clouds,Florida,2022-02-18 00:00:00,4,0,32145.0
1644624000,29.658049291,-81.404252136,20.0,288.2,288.06,1019.0,88.0,360.0,2.06,0.0,few clouds,Florida,2022-02-12 00:00:00,5,0,32145.0
